date,sentiment,total_pnl,trade_count,avg_pnl,win_count,total_volume,avg_trade_size,long_trades,unique_traders,win_rate,long_ratio
2023-05-01,Greed,0.0,3,0.0,0,477.0,159.0,3,1,0.0,1.0
2023-12-05,Greed,0.0,9,0.0,0,50005.83,5556.203333333334,7,1,0.0,0.7777777777777778
2023-12-14,Greed,-205.43473700000007,11,-18.675885181818188,4,113203.35,10291.213636363636,5,1,0.36363636363636365,0.45454545454545453
2023-12-15,Greed,-24.632033999999997,2,-12.316016999999999,0,10609.95,5304.975,2,1,0.0,1.0
2023-12-16,Greed,0.0,3,0.0,0,15348.77,5116.256666666667,3,1,0.0,1.0
2023-12-17,Greed,304.982785,14,21.78448464285714,7,116278.02,8305.572857142857,3,1,0.5,0.21428571428571427
2023-12-18,Greed,0.0,2,0.0,0,31164.179999999997,15582.089999999998,2,1,0.0,1.0
2023-12-19,Greed,1000.5386120000001,15,66.70257413333334,10,91602.41,6106.827333333334,5,1,0.6666666666666666,0.3333333333333333
2023-12-20,Greed,162.732282,18,9.040682333333333,8,141636.79,7868.710555555556,10,1,0.4444444444444444,0.5555555555555556
2023-12-21,Greed,537.211402,49,10.963498000000001,26,125233.97,2555.795306122449,22,1,0.5306122448979592,0.4489795918367347
2023-12-22,Greed,141.832675,10,14.1832675,2,88874.28,8887.428,8,1,0.2,0.8
2023-12-23,Greed,146.936704,13,11.302823384615383,8,78438.25,6033.711538461538,5,1,0.6153846153846154,0.38461538461538464
2023-12-24,Greed,1008.619956,39,25.862050153846155,15,402954.94,10332.177948717948,21,1,0.38461538461538464,0.5384615384615384
2023-12-25,Greed,-245.081348,3,-81.69378266666666,0,59948.51,19982.836666666666,2,1,0.0,0.6666666666666666
2023-12-27,Greed,-704.8892269999999,28,-25.174615249999995,4,171411.06,6121.823571428571,15,1,0.14285714285714285,0.5357142857142857
2023-12-28,Greed,-970.730876,23,-42.20569026086957,0,100117.25,4352.923913043478,10,1,0.0,0.43478260869565216
2023-12-29,Greed,508.92214299999995,50,10.178442859999999,15,569559.72,11391.1944,31,1,0.3,0.62
2023-12-30,Greed,354.998648,52,6.826897076923077,23,702550.21,13510.58096153846,20,1,0.4423076923076923,0.38461538461538464
2024-01-01,Greed,-129.53146,18,-7.196192222222223,1,264239.52999999997,14679.973888888888,10,1,0.05555555555555555,0.5555555555555556
2024-01-02,Greed,783.979116,17,46.11641858823529,8,121348.74,7138.1611764705885,9,1,0.47058823529411764,0.5294117647058824
2024-01-03,Greed,866.015507,67,12.925604582089552,28,394499.36,5888.050149253731,32,1,0.417910447761194,0.47761194029850745
2024-01-04,Greed,-67.60364,5,-13.520728,0,99792.54000000001,19958.508,2,1,0.0,0.4
2024-01-05,Greed,164.141565,66,2.486993409090909,13,1703942.66,25817.31303030303,31,1,0.19696969696969696,0.4696969696969697
